ARTICOLO,DES_ART,DES_ART2,UMIS,IVA,CLASSE_EQ,SOTTOCLASSE,GRUPPO_MERC,CLASSE_PROV,CLASSE_SCONTO,MODELLO_ART,GRUPPO_ART1,GRUPPO_ART2,GRUPPO_ART3,GRUPPO_ART4,GRUPPO_ART5,GRUPPO_ART6,GRUPPO_ART7,GRUPPO_ART8,GRUPPO_ART9,GRUPPO_ART10,GRUPPO_ART11,GRUPPO_ART12,ARTICOLO_CLI,FORNITORI_1,FORNITORI_2,FORNITORI_3,ART_FORNITORI_1,ART_FORNITORI_2,ART_FORNITORI_3,PREZZI_FOR_1,PREZZI_FOR_2,PREZZI_FOR_3,VALUTE_FOR_1,VALUTE_FOR_2,VALUTE_FOR_3,PREZZI_FOR_VAL_1,PREZZI_FOR_VAL_2,PREZZI_FOR_VAL_3,DATA_PREZZI_FOR_1,DATA_PREZZI_FOR_2,DATA_PREZZI_FOR_3,ULTIMO_COSTO,ULTIMO_ACQ,ULTIMO_PREZZO,ULTIMA_VEND,UMIS_VEND,CONV_UM,UMIS_ACQ,CONV_UM_ACQ,COLLOCAZIONE,PEZZI_CONF,PEZZI_SUBC,DIMS_1,DIMS_2,DIMS_3,DIMS_EXTRA_1,DIMS_EXTRA_2,DIMS_EXTRA_3,PESO,PESO_LORDO_ART,TARA_ART,CAPACITA_ART,SCORTA_MINIMA,SCORTA_LIMITE,TEMPO_RIORDINO,LOTTO_RIORDINO,TIPO_LOTTO_RIORD,INTERVALLO_RIORD,G_MESE_RIORD,G_WEEK_RIORD,PIANIFICATORE,MATERIALE_ART,CODICE_VINO,TIPO_ACCISA,COSTO_PRODUZIONE,QT_LOGISTICA,GIORNI_VAL,MESI_SCAD_REV_IMP,MESI_SCAD_COLL_IMP,DES_CONFEZIONE_STD,NUM_CONF_BANCALE,ALTEZZA_CONF_STD,NUM_CONF_STRATO,MAG_LOGISTICA_STD,FILA_STD,PIANO_STD,BOX_STD,TIPO_IMBALLO_STD,ANNO_LIFO,NAZIONE_PROD,BAR_CODE_EAN13,MOV_MAG,ORDINABILE,PRODUCIBILE,CONSEGNABILE_CLI,ARTICOLO_AP,PRODOTTO_IE,ART_FANTASMA,ART_OPZIONE,SCONTABILE,APPL_PROV,CONTROLLO_QUAL,CONTROLLO_LOTTO,SER_NUM_LOTTI_ON,RICALCOLO_LOTTO,RICALCOLO_SCORTA,RICALCOLO_T_RIORD,INTRASTAT_ON,MAG_LOGISTICA_ON,MRP_IGNORA_MAG,ART_CONSUMO_DB,ART_NO_PREL_RPRO,ARTICOLO_KIT,ART_PEZZE,ART_COLORATO,DATA_INS,OP_AN_ART,ROWID
1 16F00033,CAFFE HORECA - CRUSCOTTO 3GR,,N,22,,,1 27,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,0.588,20160229,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160202,,AAiSBdAAFAAAXTsAAM
1 16F00034,CAFFE HORECA - CRUSCOTTO 2GR,,N,22,,,1 27,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,400,20160430,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160202,,AAiSBdAAFAAAXT8AAN
1 16F00035,CAFFE HORECA - FIANCO INF DX+,FIANCO INF SX,N,22,,,1 27,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,77,20160331,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160205,,AAiSBdAAFAAAXSJAAB
1 16F00036,CAFFE HORECA - FIANCO SUP DX,,N,22,,,1 27,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,0.588,20160229,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160209,,AAiSBdAAFAAAXQTAAD
1 16F00037,CAFFE HORECA - FIANCO SUP SX,,N,22,,,1 27,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,16.083,20160422,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160209,,AAiSBdAAFAAAXQTAAC
1 16F00044,TARGA 14510007,,N,22,,,1 32,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160225,,AAiSBdAAFAAAXT8AAJ
1 16F00045,FONDO 14510001+COPERCHIO,,N,22,,,1 33,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,550,20160430,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160426,,AAiSBdAAFAAAXSPAAV
1 16F00049,CASSETTO C0036927,,N,22,,,1 27,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,18500,20160430,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160218,,AAiSBdAAFAAAXTbAAU
1 16F00052,CALOTTE M313A + M313B FORATE,,N,22,,,1 32,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,300,20170131,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20170130,,AAiSBdAAFAAByTaAAG
1 16F00055,GEHAUSE SCAQ24 Cod. 7000000419,8503,N,22,,,1 32,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,10,20160731,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160322,,AAiSBdAAFAAAXToAAR
