"CODICE RDS";"DESCRIZIONE";;"N.ORDINE RDS";"ANNO ";"RIGA ORDINE";"CODICE CLIENTE ";"CLIENTE";"UM";"Q.TA'ORDINATA";"Q.TA RESIDUA";"DATA CONSEGNA";"VALORE";"DEPOSITO";"CODICE CLIENTE";"N.ORD.CLIENTE";"CONSEGNA RICHIESTA";
"A284940";"HOUSING DZF29 cod.4025944";"<1175> <ex 92401>";"S0000023";2018;4;9010758;"SIEMENS AG";"PZ";1000;1000;01/07/2018;11210;1;4025944;"PROGRAMMA";" ";" "
"A284940";"HOUSING DZF29 cod.4025944";"<1175> <ex 92401>";"A0000310";2018;2;9010758;"SIEMENS AG";"PZ";1000;1000;18/07/2018;11680;1;4025944;2101922205;" ";" "
"A284961";"SEMICASSA FRONTE BX";"<959>";"S0000053";2018;13;8004303;"CAME SPA";"PZ";3400;3400;01/06/2018;4447.2;1;"119BV939";"PROGRAMMA";" ";" "
"A284961";"SEMICASSA FRONTE BX";"<959>";"S0000065";2018;11;8004303;"CAME SPA";"PZ";3800;3800;01/07/2018;4970.4;1;"119BV939";"PROGRAMMA";" ";" "
"A284961";"SEMICASSA FRONTE BX";"<959>";"X0000006";2018;2;8004303;"CAME SPA";"PZ";3315;1006;18/07/2018;1315.85;1;"119BV939";5120045968;" ";" "
"A284961";"SEMICASSA FRONTE BX";"<959>";"X0000006";2018;3;8004303;"CAME SPA";"PZ";285;285;18/07/2018;372.78;1;"119BV939";5120045968;" ";" "
"A284961";"SEMICASSA FRONTE BX";"<959>";"S0000066";2018;8;8004303;"CAME SPA";"PZ";3800;3800;01/08/2018;4970.4;1;"119BV939";"PROGRAMMA";" ";" "
"A284961";"SEMICASSA FRONTE BX";"<959>";"S0000067";2018;11;8004303;"CAME SPA";"PZ";3800;3800;01/09/2018;4970.4;1;"119BV939";"PROGRAMMA";" ";" "
"A284970";"SEMICARCASSA DX RIDUTTORE L101";"<959>";"X0000021";2017;1;8004303;"CAME SPA";"PZ";75;75;07/12/2017;105.38;1;"119BL101";4720002833;" ";" "
"A284971";"SEMICASSA RETRO BX";"<959>";"S0000053";2018;14;8004303;"CAME SPA";"PZ";3400;3400;01/06/2018;4777;1;"119BV940";"PROGRAMMA";" ";" "
"A284971";"SEMICASSA RETRO BX";"<959>";"A0000434";2018;1;8004303;"CAME SPA";"PZ";3800;2600;13/06/2018;3653;1;"119BV940";5120045530;" ";" "
"A284971";"SEMICASSA RETRO BX";"<959>";"X0000006";2018;6;8004303;"CAME SPA";"PZ";1600;235;18/06/2018;330.18;1;"119BV940";5120045968;" ";" "
"A284971";"SEMICASSA RETRO BX";"<959>";"A0000469";2018;1;8004303;"CAME SPA";"PZ";3800;3800;20/06/2018;5339;1;"119BV940";5120045986;" ";" "
"A284971";"SEMICASSA RETRO BX";"<959>";"S0000065";2018;12;8004303;"CAME SPA";"PZ";3800;3800;01/07/2018;5339;1;"119BV940";"PROGRAMMA";" ";" "
"A284971";"SEMICASSA RETRO BX";"<959>";"S0000066";2018;9;8004303;"CAME SPA";"PZ";3800;3800;01/08/2018;5339;1;"119BV940";"PROGRAMMA";" ";" "
"A284971";"SEMICASSA RETRO BX";"<959>";"S0000067";2018;12;8004303;"CAME SPA";"PZ";3800;3800;01/09/2018;5339;1;"119BV940";"PROGRAMMA";" ";" "
"A285000";"FLANGIA FRIZIONE FEMMINA L_159";"<962>";"S0000053";2018;4;8004303;"CAME SPA";"PZ";6000;6000;01/06/2018;2130;1;"119BL159";"PROGRAMMA";" ";" "
"A285000";"FLANGIA FRIZIONE FEMMINA L_159";"<962>";"A0000458";2018;3;8004303;"CAME SPA";"PZ";2000;2000;18/06/2018;710;1;"119BL159";5120045728;" ";" "
"A285000";"FLANGIA FRIZIONE FEMMINA L_159";"<962>";"S0000065";2018;5;8004303;"CAME SPA";"PZ";6000;6000;01/07/2018;2130;1;"119BL159";"PROGRAMMA";" ";" "
"A285000";"FLANGIA FRIZIONE FEMMINA L_159";"<962>";"S0000066";2018;3;8004303;"CAME SPA";"PZ";4000;4000;01/08/2018;1420;1;"119BL159";"PROGRAMMA";" ";" "
"A285000";"FLANGIA FRIZIONE FEMMINA L_159";"<962>";"S0000067";2018;4;8004303;"CAME SPA";"PZ";4000;4000;01/09/2018;1420;1;"119BL159";"PROGRAMMA";" ";" "
"A285010";"FLANGIA FRIZIONE MASCHIO L_160";"<962>";"S0000053";2018;5;8004303;"CAME SPA";"PZ";8000;8000;01/06/2018;2840;1;"119BL160";"PROGRAMMA";" ";" "
"A285010";"FLANGIA FRIZIONE MASCHIO L_160";"<962>";"S0000065";2018;6;8004303;"CAME SPA";"PZ";4000;4000;01/07/2018;1420;1;"119BL160";"PROGRAMMA";" ";" "
"A285010";"FLANGIA FRIZIONE MASCHIO L_160";"<962>";"S0000066";2018;4;8004303;"CAME SPA";"PZ";4000;4000;01/08/2018;1420;1;"119BL160";"PROGRAMMA";" ";" "
"A285010";"FLANGIA FRIZIONE MASCHIO L_160";"<962>";"S0000067";2018;5;8004303;"CAME SPA";"PZ";4000;4000;01/09/2018;1420;1;"119BL160";"PROGRAMMA";" ";" "
"A285060";"HOUSING C29 cod.4025913";"<963>";"A0000207";2018;1;9010758;"SIEMENS AG";"PZ";1000;95;23/05/2018;1055.45;1;4025913;2101915204;" ";" "
"A285060";"HOUSING C29 cod.4025913";"<963>";"S0000023";2018;2;9010758;"SIEMENS AG";"PZ";1000;1000;01/07/2018;11120;1;4025913;"PROGRAMMA";" ";" "
"A285060";"HOUSING C29 cod.4025913";"<963>";"A0000471";2018;1;9010758;"SIEMENS AG";"PZ";1000;1000;24/08/2018;10990;1;4025913;2101933862;" ";" "
"A285070";"HOUSING CF29 cod.4027717";"<964>";"A0000064";2018;1;9010758;"SIEMENS AG";"PZ";1000;1000;30/06/2018;10590;1;4027717;2101904597;" ";" "
"A285070";"HOUSING CF29 cod.4027717";"<964>";"A0000472";2018;1;9010758;"SIEMENS AG";"PZ";1000;1000;17/08/2018;10500;1;4027717;2101933833;" ";" "
"A285070";"HOUSING CF29 cod.4027717";"<964>";"S0000057";2018;2;9010758;"SIEMENS AG";"PZ";1000;1000;01/09/2018;0;1;4027717;"PRORAMMA";" ";" "
"A285070";"HOUSING CF29 cod.4027717";"<964>";"S0000060";2018;6;9010758;"SIEMENS AG";"PZ";1000;1000;01/12/2018;0;1;4027717;"PROGRAMMA";" ";" "
"A285080";"LAGSHI BS LE080 cod.4027778";"<957>";"S0000023";2018;8;9010758;"SIEMENS AG";"PZ";2000;2000;01/07/2018;10320;1;4027778;"PROGRAMMA";" ";" "
"A285080";"LAGSHI BS LE080 cod.4027778";"<957>";"A0000309";2018;2;9010758;"SIEMENS AG";"PZ";2000;2000;04/07/2018;10240;1;4027778;2101922203;" ";" "
"A285080";"LAGSHI BS LE080 cod.4027778";"<957>";"S0000057";2018;3;9010758;"SIEMENS AG";"PZ";2000;2000;01/09/2018;0;1;4027778;"PRORAMMA";" ";" "
"A285080";"LAGSHI BS LE080 cod.4027778";"<957>";"S0000059";2018;10;9010758;"SIEMENS AG";"PZ";2000;2000;02/11/2018;0;1;4027778;"PROGRAMMA";" ";" "
"A285081";"LAGSHI BS LE080 ZV43 cod.40277";"80<957>";"A0000308";2018;3;9010758;"SIEMENS AG";"PZ";1000;1000;27/06/2018;6630;1;4027780;2101922206;" ";" "
"A285081";"LAGSHI BS LE080 ZV43 cod.40277";"80<957>";"S0000023";2018;9;9010758;"SIEMENS AG";"PZ";1000;1000;01/07/2018;6670;1;4027780;"PROGRAMMA";" ";" "
"A285081";"LAGSHI BS LE080 ZV43 cod.40277";"80<957>";"A0000313";2018;3;9010758;"SIEMENS AG";"PZ";1000;1000;18/07/2018;6630;1;4027780;2101922201;" ";" "
"A285081";"LAGSHI BS LE080 ZV43 cod.40277";"80<957>";"S0000059";2018;11;9010758;"SIEMENS AG";"PZ";1000;1000;02/11/2018;0;1;4027780;"PROGRAMMA";" ";" "
"A285081";"LAGSHI BS LE080 ZV43 cod.40277";"80<957>";"S0000060";2018;8;9010758;"SIEMENS AG";"PZ";1000;1000;01/12/2018;0;1;4027780;"PROGRAMMA";" ";" "
"A285090";"LAGSHI BS LE090 cod.4027783";"<1154> EX 95701";"A0000049";2018;1;9010758;"SIEMENS AG";"PZ";2000;4;08/05/2018;23.2;1;4027783;2101903235;" ";" "
"A285090";"LAGSHI BS LE090 cod.4027783";"<1154> EX 95701";"S0000022";2018;6;9010758;"SIEMENS AG";"PZ";2000;2000;01/06/2018;11620;1;4027783;"PROGRAMMA";" ";" "
"A285090";"LAGSHI BS LE090 cod.4027783";"<1154> EX 95701";"A0000131";2018;1;9010758;"SIEMENS AG";"PZ";2000;2000;25/06/2018;11600;1;4027783;2101909536;" ";" "
"A285090";"LAGSHI BS LE090 cod.4027783";"<1154> EX 95701";"A0000454";2018;1;9010758;"SIEMENS AG";"PZ";2000;2000;10/08/2018;11500;1;4027783;2101932778;" ";" "
"A285090";"LAGSHI BS LE090 cod.4027783";"<1154> EX 95701";"S0000058";2018;10;9010758;"SIEMENS AG";"PZ";2000;2000;01/10/2018;0;1;4027783;"PROGRAMMA";" ";" "
"A285090";"LAGSHI BS LE090 cod.4027783";"<1154> EX 95701";"S0000059";2018;12;9010758;"SIEMENS AG";"PZ";2000;2000;02/11/2018;0;1;4027783;"PROGRAMMA";" ";" "
"A285091";"LAGSHI BS LE090 ZV43 cod.40277";"85 <1154> EX 95701";"A0000263";2018;1;9010758;"SIEMENS AG";"PZ";1000;43;01/06/2018;328.95;1;4027785;2101919254;" ";" "
"A285091";"LAGSHI BS LE090 ZV43 cod.40277";"85 <1154> EX 95701";"S0000023";2018;10;9010758;"SIEMENS AG";"PZ";1000;1000;01/07/2018;7700;1;4027785;"PROGRAMMA";" ";" "
"A285091";"LAGSHI BS LE090 ZV43 cod.40277";"85 <1154> EX 95701";"A0000314";2018;3;9010758;"SIEMENS AG";"PZ";1000;1000;04/07/2018;7650;1;4027785;2101922200;" ";" "
"A285091";"LAGSHI BS LE090 ZV43 cod.40277";"85 <1154> EX 95701";"A0000311";2018;1;9010758;"SIEMENS AG";"PZ";1000;1000;11/07/2018;7650;1;4027785;2101922202;" ";" "
"A285091";"LAGSHI BS LE090 ZV43 cod.40277";"85 <1154> EX 95701";"S0000058";2018;11;9010758;"SIEMENS AG";"PZ";1000;1000;01/10/2018;0;1;4027785;"PROGRAMMA";" ";" "
"A285091";"LAGSHI BS LE090 ZV43 cod.40277";"85 <1154> EX 95701";"S0000060";2018;9;9010758;"SIEMENS AG";"PZ";1000;1000;01/12/2018;0;1;4027785;"PROGRAMMA";" ";" "
"A285130";"FLANGE DZF39 A160 cod.4022725";"<967>";"S0000023";2018;1;9010758;"SIEMENS AG";"PZ";1000;1000;01/07/2018;3430;1;4022725;"PROGRAMMA";" ";" "
"A285130";"FLANGE DZF39 A160 cod.4022725";"<967>";"A0000312";2018;1;9010758;"SIEMENS AG";"PZ";1000;1000;11/07/2018;3410;1;4022725;201922208;" ";" "
"A285130";"FLANGE DZF39 A160 cod.4022725";"<967>";"S0000060";2018;4;9010758;"SIEMENS AG";"PZ";1000;1000;01/12/2018;0;1;4022725;"PROGRAMMA";" ";" "
"A285150";"COPERCHIO RIDUTTORE 3SL270.3";"VERN. GRIGIO RAL7046 <968>";"A0000038";2018;7;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";500;500;09/07/2018;2953;1;"/30300400";"A80160";03/07/2018;" "
"A285150";"COPERCHIO RIDUTTORE 3SL270.3";"VERN. GRIGIO RAL7046 <968>";"A0000402";2018;2;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";500;500;07/09/2018;3039;1;"/30300400";"A81003";03/09/2018;" "
"A285160";"CORPO RIDUTTORE 3SL269.2";"VERN. GRIGIO RAL7046 <969>";"A0000038";2018;8;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";500;500;09/07/2018;4979.5;1;"/30300450";"A80160";03/07/2018;" "
"A285160";"CORPO RIDUTTORE 3SL269.2";"VERN. GRIGIO RAL7046 <969>";"A0000402";2018;3;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";500;500;07/09/2018;5079.5;1;"/30300450";"A81003";03/09/2018;" "
"A285170";"CAVALLOTTO SBLOCCO 3SL273.1";"VERN. GRIGIO RAL7046 <970>";"A0000038";2018;6;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";500;500;09/07/2018;375.5;1;"/WASLINTE CSB";"A80160";03/07/2018;" "
"A285170";"CAVALLOTTO SBLOCCO 3SL273.1";"VERN. GRIGIO RAL7046 <970>";"A0000402";2018;1;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";500;500;07/09/2018;397;1;"/WASLINTE CSB";"A81003";03/09/2018;" "
"A285180";"TAPPO PIENO 3SL274.1 VERN.";"GRIGIO RAL7046 <970>";"A0000038";2018;10;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";500;500;09/07/2018;476;1;"/WASLINTE TAP";"A80160";03/07/2018;" "
"A285180";"TAPPO PIENO 3SL274.1 VERN.";"GRIGIO RAL7046 <970>";"A0000402";2018;9;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";500;500;07/09/2018;502.5;1;"/WASLINTE TAP";"A81003";03/09/2018;" "
"A285200";"MANIGLIA SBLOCCO 31100150";"ROSSA RAL 2004 <970>";"A0000038";2018;4;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";500;161;09/05/2018;136.85;1;"/31100150";"A80160";03/05/2018;" "
"A285200";"MANIGLIA SBLOCCO 31100150";"ROSSA RAL 2004 <970>";"A0000038";2018;9;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";500;500;09/07/2018;425;1;"/31100150";"A80160";03/07/2018;" "
"A285200";"MANIGLIA SBLOCCO 31100150";"ROSSA RAL 2004 <970>";"A0000402";2018;4;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";500;500;07/09/2018;458.5;1;"/31100150";"A81003";03/09/2018;" "
"A285210";"HOUSING PIERBURG cod.";"3.26747.07.0 GR <971>";"A0000182";2018;6;8004782;"TMB SPA";"PZ";2000;705;07/05/2018;1778.72;1;"3.26747.07.0 GR";1181;" ";" "
"A285230";"GUSCIO INFERIORE PISTONE ECO";"3SC0700000 <973>";"A0000392";2018;1;8004765;"LIFE HOME INTEGRATION SRL";"PZ";1000;1000;10/07/2018;3009;1;"3SC0700000";9018;02/07/2018;" "
"A285240";"GUSCIO SUPERIORE PISTONE ECO";"3SC0710000 <973>";"A0000392";2018;2;8004765;"LIFE HOME INTEGRATION SRL";"PZ";750;750;10/07/2018;2306.25;1;"3SC0710000";9018;02/07/2018;" "
"A285241";"GUSCIO SUPERIORE PISTONE ECO";"3SC0720000 SENZA SCRITTA <973>";"A0000392";2018;3;8004765;"LIFE HOME INTEGRATION SRL";"PZ";250;250;10/07/2018;921.75;1;"3SC0720000";9018;02/07/2018;" "
"A285270";"BLOCCHETTO VW DX LATO GUIDA";"<975>";"A0000327";2018;3;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";10944;5472;02/05/2018;4492.51;1;"168102A";"EW85865";" ";" "
"A285270";"BLOCCHETTO VW DX LATO GUIDA";"<975>";"A0000435";2018;4;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";7904;7904;05/06/2018;6489.18;1;"168102A";"EW85865";" ";" "
"A285270";"BLOCCHETTO VW DX LATO GUIDA";"<975>";"S0000063";2018;4;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";14592;14592;01/07/2018;11980.03;1;"168102A";"PROGRAMMA";" ";" "
"A285270";"BLOCCHETTO VW DX LATO GUIDA";"<975>";"S0000064";2018;4;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";10944;10944;01/08/2018;8985.02;1;"168102A";"PROGRAMMA";" ";" "
"A285271";"MOUNTING HEAD DRIVER  DX";"VW ANODIZZATO   <975>";"A0000277";2018;1;9010855;"FEDERAL-MOGUL of SOUTH AFRICA";"PZ";3648;1368;08/06/2018;1823.54;1;"168102A";1804206;06/06/2018;" "
"A285271";"MOUNTING HEAD DRIVER  DX";"VW ANODIZZATO   <975>";"S0000061";2018;2;9010855;"FEDERAL-MOGUL of SOUTH AFRICA";"PZ";7296;7296;20/08/2018;0;1;"168102A";"PROGRAMMA";" ";" "
"A285280";"BLOCCHETTO VW DX LATO PASS.";"<976>";"A0000828";2017;2;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";970;970;31/10/2017;0;1;"168103A";"537-A";" ";" "
"A285280";"BLOCCHETTO VW DX LATO PASS.";"<976>";"A0000327";2018;4;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";28800;11000;02/05/2018;8635;1;"168103A";"EW85865";" ";" "
"A285280";"BLOCCHETTO VW DX LATO PASS.";"<976>";"A0000435";2018;5;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";9600;9600;05/06/2018;7536;1;"168103A";"EW85865";" ";" "
"A285280";"BLOCCHETTO VW DX LATO PASS.";"<976>";"A0000176";2018;13;9010871;"FEDERAL MOGUL S.A.";"PZ";4800;4800;08/06/2018;3729.6;1;"MA1050  (168103)";61470;" ";" "
"A285280";"BLOCCHETTO VW DX LATO PASS.";"<976>";"S0000063";2018;5;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";19200;19200;01/07/2018;15072;1;"168103A";"PROGRAMMA";" ";" "
"A285280";"BLOCCHETTO VW DX LATO PASS.";"<976>";"S0000064";2018;5;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";14400;14400;01/08/2018;11304;1;"168103A";"PROGRAMMA";" ";" "
"A285281";"MOUNTING HEAD PASSENGERS DX";"VW  ANODIZZATO     <976>";"S0000062";2018;2;9010855;"FEDERAL-MOGUL of SOUTH AFRICA";"PZ";9600;9600;20/08/2018;0;1;"168103A";"PROGRAMMA";" ";" "
"A285300";"COVER DZ39 cod.4022730 <977>";" ";"S0000022";2018;1;9010758;"SIEMENS AG";"PZ";2000;2000;01/06/2018;3280;1;4022730;"PROGRAMMA";" ";" "
"A285300";"COVER DZ39 cod.4022730 <977>";" ";"A0000313";2018;2;9010758;"SIEMENS AG";"PZ";2000;2000;18/07/2018;3240;1;4022730;2101922201;" ";" "
"A285300";"COVER DZ39 cod.4022730 <977>";" ";"S0000058";2018;2;9010758;"SIEMENS AG";"PZ";2000;2000;01/10/2018;0;1;4022730;"PROGRAMMA";" ";" "
"A285300";"COVER DZ39 cod.4022730 <977>";" ";"S0000060";2018;2;9010758;"SIEMENS AG";"PZ";2000;2000;01/12/2018;0;1;4022730;"PROGRAMMA";" ";" "
"A285320";"ADATTATORE MOTORE 3SL271.2";"<978>";"A0000202";2018;2;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";500;500;06/07/2018;772;1;"/ZASLINTE ADM";"A80535";03/07/2018;" "
"A285330";"FLANGE D/Z28 A120 cod. 4370948";"<1177><ex 94901>";"S0000058";2018;4;9010758;"SIEMENS AG";"PZ";500;500;01/10/2018;0;1;4370948;"PROGRAMMA";" ";" "
"A285370";"HOUSING COVER C29 cod.4025920";"<981>";"S0000023";2018;3;9010758;"SIEMENS AG";"PZ";2000;2000;01/07/2018;2240;1;4025920;"PROGRAMMA";" ";" "
"A285370";"HOUSING COVER C29 cod.4025920";"<981>";"S0000059";2018;2;9010758;"SIEMENS AG";"PZ";2000;2000;02/11/2018;0;1;4025920;"PROGRAMMA";" ";" "
"A285510";"HOUSING DZ-19-63 COD. 7504574";"<98700> 4025962";"S0000023";2018;5;9010758;"SIEMENS AG";"PZ";500;500;01/07/2018;6835;1;4025962;"PROGRAMMA";" ";" "
"A285510";"HOUSING DZ-19-63 COD. 7504574";"<98700> 4025962";"A0000466";2018;1;9010758;"SIEMENS AG";"PZ";500;500;24/08/2018;6785;1;4025962;2101934184;" ";" "
"A285510";"HOUSING DZ-19-63 COD. 7504574";"<98700> 4025962";"S0000059";2018;9;9010758;"SIEMENS AG";"PZ";500;500;02/11/2018;0;1;4025962;"PROGRAMMA";" ";" "
"A285520";"HOUSING DZ-19-71 COD. 4027829";"<98701>  7505266";"S0000023";2018;11;9010758;"SIEMENS AG";"PZ";1000;1000;01/07/2018;12150;1;4027829;"PROGRAMMA";" ";" "
"A285520";"HOUSING DZ-19-71 COD. 4027829";"<98701>  7505266";"A0000309";2018;3;9010758;"SIEMENS AG";"PZ";1000;1000;11/07/2018;12040;1;4027829;2101922203;" ";" "
"A285530";"HOUSING DZ-19-80 COD. 7505268";"<98702>  4027831";"S0000058";2018;6;9010758;"SIEMENS AG";"PZ";500;500;01/10/2018;0;1;4027831;"PROGRAMMA";" ";" "
"A285540";"HOUSING DZF-19-63 COD. 7504577";"<98800>  4025965";"A0000311";2018;2;9010758;"SIEMENS AG";"PZ";1000;1000;11/07/2018;11120;1;4025965;2101922202;" ";" "
"A285540";"HOUSING DZF-19-63 COD. 7504577";"<98800>  4025965";"S0000059";2018;8;9010758;"SIEMENS AG";"PZ";1000;1000;02/11/2018;0;1;4025965;"PROGRAMMA";" ";" "
"A285550";"HOUSING DZF-19-71 COD. 7507318";"<98801> 4041751";"S0000058";2018;7;9010758;"SIEMENS AG";"PZ";1000;1000;01/10/2018;0;1;4041751;"PROGRAMMA";" ";" "
"A285580";"COVER DZ19 cod.4025976 <990>";" ";"S0000023";2018;6;9010758;"SIEMENS AG";"PZ";2000;2000;01/07/2018;3100;1;4025976;"PROGRAMMA";" ";" "
"A285580";"COVER DZ19 cod.4025976 <990>";" ";"S0000057";2018;1;9010758;"SIEMENS AG";"PZ";2000;2000;01/09/2018;0;1;4025976;"PRORAMMA";" ";" "
"A285580";"COVER DZ19 cod.4025976 <990>";" ";"S0000059";2018;3;9010758;"SIEMENS AG";"PZ";2000;2000;02/11/2018;0;1;4025976;"PROGRAMMA";" ";" "
"A285590";"HOUSING COVER B19 cod.4025865";"<991>";"S0000059";2018;1;9010758;"SIEMENS AG";"PZ";1000;1000;02/11/2018;0;1;4025865;"PROGRAMMA";" ";" "
"A285640";"GUSCIO CALOTTA VULCAN  AL NAT";"PER MOTORE MZ056B <994>";"A0000464";2018;1;8004869;"V2 S.P.A.";"PZ";500;500;25/07/2018;1658.5;1;"MZ056B";898;05/07/2018;" "
"A285660";"SEMICASSA RIDUTTORE EMEGA NEW";"DX F_811 <996>";"S0000053";2018;37;8004303;"CAME SPA";"PZ";245;245;01/06/2018;422.14;1;"119EF811";"PROGRAMMA";" ";" "
"A285660";"SEMICASSA RIDUTTORE EMEGA NEW";"DX F_811 <996>";"S0000067";2018;23;8004303;"CAME SPA";"PZ";245;245;01/09/2018;422.14;1;"119EF811";"PROGRAMMA";" ";" "
"A285670";"SEMICASSA RIDUTTORE EMEGA NEW";"SX F_812 <996>";"S0000053";2018;38;8004303;"CAME SPA";"PZ";245;245;01/06/2018;434.39;1;"119EF812";"PROGRAMMA";" ";" "
"A285670";"SEMICASSA RIDUTTORE EMEGA NEW";"SX F_812 <996>";"S0000065";2018;24;8004303;"CAME SPA";"PZ";245;245;01/07/2018;434.39;1;"119EF812";"PROGRAMMA";" ";" "
"A285680";"FONDO CASSA MOTORIDUTTORE GARD";"dis. F959 <997>";"S0000053";2018;51;8004303;"CAME SPA";"PZ";2400;2400;01/06/2018;5836.8;1;"119GF959";"PROGRAMMA";" ";" "
"A285680";"FONDO CASSA MOTORIDUTTORE GARD";"dis. F959 <997>";"A0000411";2018;3;8004303;"CAME SPA";"PZ";2050;24;05/06/2018;58.37;1;"119GF959";5120045323;" ";" "
"A285680";"FONDO CASSA MOTORIDUTTORE GARD";"dis. F959 <997>";"A0000411";2018;4;8004303;"CAME SPA";"PZ";1200;1200;05/06/2018;2918.4;1;"119GF959";5120045323;" ";" "
"A285680";"FONDO CASSA MOTORIDUTTORE GARD";"dis. F959 <997>";"A0000414";2018;1;8004303;"CAME SPA";"PZ";1200;1200;05/06/2018;2918.4;1;"119GF959";5120045442;" ";" "
"A285680";"FONDO CASSA MOTORIDUTTORE GARD";"dis. F959 <997>";"A0000419";2018;2;8004303;"CAME SPA";"PZ";1200;1200;05/06/2018;2918.4;1;"119GF959";5120045462;" ";" "
"A285680";"FONDO CASSA MOTORIDUTTORE GARD";"dis. F959 <997>";"S0000065";2018;35;8004303;"CAME SPA";"PZ";1200;1200;01/07/2018;2918.4;1;"119GF959";"PROGRAMMA";" ";" "
"A285680";"FONDO CASSA MOTORIDUTTORE GARD";"dis. F959 <997>";"S0000066";2018;27;8004303;"CAME SPA";"PZ";1300;1300;01/08/2018;3161.6;1;"119GF959";"PROGRAMMA";" ";" "
"A285680";"FONDO CASSA MOTORIDUTTORE GARD";"dis. F959 <997>";"S0000067";2018;33;8004303;"CAME SPA";"PZ";3600;3600;01/09/2018;8755.2;1;"119GF959";"PROGRAMMA";" ";" "
"A285690";"COPERCHIO CASSA MOTORIDUTTORE";"GARD dis. F958 <998>";"S0000053";2018;50;8004303;"CAME SPA";"PZ";1260;1260;01/06/2018;3447.36;1;"119GF958";"PROGRAMMA";" ";" "
"A285690";"COPERCHIO CASSA MOTORIDUTTORE";"GARD dis. F958 <998>";"A0000419";2018;1;8004303;"CAME SPA";"PZ";1260;1050;05/06/2018;2872.8;1;"119GF958";5120045462;" ";" "
"A285690";"COPERCHIO CASSA MOTORIDUTTORE";"GARD dis. F958 <998>";"A0000425";2018;1;8004303;"CAME SPA";"PZ";1260;1260;12/06/2018;3447.36;1;"119GF958";5120045505;" ";" "
"A285690";"COPERCHIO CASSA MOTORIDUTTORE";"GARD dis. F958 <998>";"S0000065";2018;34;8004303;"CAME SPA";"PZ";1260;1260;01/07/2018;3447.36;1;"119GF958";"PROGRAMMA";" ";" "
"A285690";"COPERCHIO CASSA MOTORIDUTTORE";"GARD dis. F958 <998>";"S0000066";2018;26;8004303;"CAME SPA";"PZ";1260;1260;01/08/2018;3447.36;1;"119GF958";"PROGRAMMA";" ";" "
"A285690";"COPERCHIO CASSA MOTORIDUTTORE";"GARD dis. F958 <998>";"S0000067";2018;32;8004303;"CAME SPA";"PZ";2520;2520;01/09/2018;6894.72;1;"119GF958";"PROGRAMMA";" ";" "
"A285710";"GUSCIO CORPO INF VULCAN AL NAT";"RIDUTTORE MZ058A <1003>";"A0000418";2018;3;8004869;"V2 S.P.A.";"PZ";500;500;06/07/2018;1604.5;1;"MZ058A";747;05/07/2018;" "
"A285730";"CALOTTA MOTORE ANT VULCAN AL";"NAT 24V MZ059A <1005>";"A0000397";2018;2;8004869;"V2 S.P.A.";"PZ";500;500;10/07/2018;628.5;1;"MZ059A";793;" ";" "
"A285740";"CALOTTA MOTORE POS VULCAN";"COD. MZ060A <1005>";"A0000103";2018;8;8004869;"V2 S.P.A.";"PZ";500;14;09/05/2018;21.67;1;"MZ060A";266;" ";" "
"A285740";"CALOTTA MOTORE POS VULCAN";"COD. MZ060A <1005>";"A0000397";2018;1;8004869;"V2 S.P.A.";"PZ";500;500;10/07/2018;730.5;1;"MZ060A";793;" ";" "
"A285750";"FUSIONE BASE FORTECO";"COD. MZ063A <1000>";"A0000103";2018;11;8004869;"V2 S.P.A.";"PZ";500;500;09/05/2018;8403.5;1;"MZ063A";266;" ";" "
"A285830";"FONDO SELETTORE INCASSO";"SIRMO AL NAT.<1007> o <100701>";"A0000418";2018;4;8004869;"V2 S.P.A.";"PZ";1000;1000;06/07/2018;2292;1;"MZ077A";747;05/07/2018;" "
"A286060";"BASE AUTOMAZIONE SCORREVOLE";"<1023>   REV.3 VERS. PLM 00";"A0000401";2018;1;8004950;"VIMAR SPA";"PZ";1000;1000;09/07/2018;8653;1;"SFZ.001.101";4500141720;" ";" "
