"CODICE RDS";"DESCRIZIONE";;"N.ORDINE RDS";"ANNO ";"RIGA ORDINE";"CODICE CLIENTE ";"CLIENTE";"UM";"Q.TA'ORDINATA";"Q.TA RESIDUA";"DATA CONSEGNA";"VALORE";"DEPOSITO";"CODICE CLIENTE";"N.ORD.CLIENTE";"CONSEGNA RICHIESTA";
"A214601";"CALOTTA INFERIORE BYE**  <334>";" ";"S0000066";2018;1;8004303;"CAME SPA";"PZ";5760;5760;01/08/2018;3697.92;1;"119B289";"PROGRAMMA";" ";" "
"A214601";"CALOTTA INFERIORE BYE**  <334>";" ";"S0000067";2018;1;8004303;"CAME SPA";"PZ";2880;2880;01/09/2018;1848.96;1;"119B289";"PROGRAMMA";" ";" "
"A214602";"CALOTTA SUPERIORE BYE**  <334>";" ";"S0000053";2018;2;8004303;"CAME SPA";"PZ";5760;5760;01/06/2018;3841.92;1;"119B290";"PROGRAMMA";" ";" "
"A214602";"CALOTTA SUPERIORE BYE**  <334>";" ";"A0000437";2018;1;8004303;"CAME SPA";"PZ";2880;400;18/06/2018;266.8;1;"119B290";5120045621;" ";" "
"A214602";"CALOTTA SUPERIORE BYE**  <334>";" ";"A0000458";2018;1;8004303;"CAME SPA";"PZ";2880;1440;18/06/2018;960.48;1;"119B290";5120045728;" ";" "
"A214602";"CALOTTA SUPERIORE BYE**  <334>";" ";"S0000065";2018;2;8004303;"CAME SPA";"PZ";5760;5760;01/07/2018;3841.92;1;"119B290";"PROGRAMMA";" ";" "
"A214602";"CALOTTA SUPERIORE BYE**  <334>";" ";"S0000066";2018;2;8004303;"CAME SPA";"PZ";2880;2880;01/08/2018;1920.96;1;"119B290";"PROGRAMMA";" ";" "
"A214602";"CALOTTA SUPERIORE BYE**  <334>";" ";"S0000067";2018;2;8004303;"CAME SPA";"PZ";5760;5760;01/09/2018;3841.92;1;"119B290";"PROGRAMMA";" ";" "
"A215301";"PIEDINO GRANDE  <19>";" ";"A0000354";2018;3;8003215;"EBARA PUMPS EUROPE S.p.A.";"PZ";8000;8000;29/06/2018;1928;1;"371415013-72012";1100160242;" ";" "
"A215601";"SUPPORTO MOTORE MEC/80  <15>";" ";"A0000273";2018;1;8003215;"EBARA PUMPS EUROPE S.p.A.";"PZ";2000;381;23/05/2018;1320.93;1;340280063;1100159472;" ";" "
