PARTE,ATTREZZATURA,NUM_IMPRONTE
E284690,90009410,5
E284710,900094200,1
E284730,900094300,1
E284740,900094400,10
E284750,900094500,1
E284760,900094500,1
E236940,900066300,2
E236970,900066600,0
E236980,900066700,0
E237040,900067200,1
E23704,90006720,1
E237050,900067200,1
E237060,90006720,1
E237100,900067500,1
E237110,900067600,1
E237120,900067700,1
E284770,900094600,1
E284780,90009460,1
E284790,900094700,1
E284800,900094700,1
E284810,900094800,1
E284820,900094800,1
E284830,90008700,4
E284840,900087002,4
E284840,900087005,2
E284850,900087003,4
E284870,900095000,2
E284880,900095100,1
E284890,900095200,1
E284900,900095300,1
E284920,900095500,1
E284930,900117600,1
E28493,90011760,1
E287690,900110300,1
E287240,900111500,1
E28748,90011210,2
E237130,900067900,0
E237140,900068000,0
E237200,900072700,4
E237300,900072800,2
E237310,900072900,0
E237320,90006540,0
E237400,900073500,1
E237410,900073500,1
E237430,900073700,1
E237450,900073900,1
E237460,900073900,1
E237470,900073900,1
E288270,900120500,1
E284980,900096000,1
E284990,900096100,4
E285000,900096200,1
E285010,900096200,1
E285020,90009350,1
E285030,90009350,1
E285040,900095600,1
E285050,900095600,1
E285060,900096300,1
E285100,900096500,2
E285110,900096600,1
E285120,900117900,1
E285130,900096700,1
E237510,900074100,0
E237520,900074200,1
E237530,900074300,1
E237540,900074400,0
E237550,900074500,0
E237560,900074500,0
E237570,900074600,0
E237580,900074700,1
E237590,90007470,1
E237600,900074800,1
E237610,900074900,1
E237620,900075000,0
E237630,900075100,0
E237640,900075200,0
E237650,900075300,2
E285140,900119100,1
E285150,900096800,1
E285160,900096900,1
E285210,900097100,2
E285220,900097200,1
E285230,900097300,1
E285240,900097300,1
E285250,900097400,1
E285260,900097400,1
E285270,900097500,3
E285280,900097600,3
E285290,90009720,1
E285300,900097700,2
E285310,900119200,1
E285320,900097800,1
E287760,900113400,1
E287750,900113400,1
E287740,900113500,1
E237710,900082100,0
E237730,900082200,0
E23773,900082203,0
E237732,900082205,0
E237740,90008220,0
E23774,900082202,0
E237743,900082206,1
E285340,90008660,1
E285350,900097900,1
E285360,900098000,1
E285370,900098100,1
E285380,900097200,1
E285390,900098200,1
E285400,900097202,1
E285400,900087005,2
E285410,900098300,1
E285420,90009830,1
E285430,900098302,1
E285440,900100900,1
E285450,900100900,1
E285470,900098400,1
E285480,900098500,1
E285490,900098600,2
E285500,90009210,1
E236650,900064500,2
E237700,900076300,1
E237750,900082300,1
E237760,900082300,1
E237770,900082400,1
E23777,900082403,0
E237780,90008240,1
E23778,900082404,0
E237790,900082800,1
E237800,900082900,4
E237810,900083000,4
E237820,900083100,1
E237830,900084300,1
E237840,90008430,1
E285540,900098800,1
E285560,900098802,1
E285570,900098900,1
E285600,900099200,4
E285610,900097203,1
E285620,900099300,1
E285630,900099300,1
E285650,900099500,1
E285660,900099600,1
E285670,900099600,1
E285680,900099700,1
E285690,900099800,1
E285700,900099900,2
E237850,900085900,1
E23785,900085902,0
E237860,900085900,1
E23786,90008590,0
E237862,900085902,0
E23787,90008600,1
E237890,90008530,0
E237900,90008530,0
E237910,90008530,0
E237920,900085302,0
E237930,900085302,0
E280000,90002430,4
E280100,900033100,4
E280200,900024200,8
E280300,900024300,8
E280400,900027000,1
E28040,900027000,1
E285720,900100400,1
E285760,900100100,1
E285770,900100200,1
E285790,900100200,1
E285800,900097204,1
E285810,900100600,2
E285820,900100600,2
E285840,900100700,1
E285850,900100800,1
E285860,900100800,1
E285870,900101000,1
E280600,900024400,4
E280700,900024500,4
E280800,900036800,1
E280900,900036800,1
E281100,90002420,8
E28110,90002420,8
E281200,90003910,0
E281300,90003930,0
E281400,900054800,1
E282100,900039100,0
E282200,900051202,0
E282300,900039300,0
E282310,900075400,2
E282320,900075500,2
E282330,900075600,1
E28233,90007560,0
E282340,900075600,1
E28234,90007560,1
E285890,900101200,1
E285900,900101300,1
E285910,900101300,1
E285920,900101400,1
E285930,900101400,1
E285940,900101400,1
E285980,900101700,4
E285990,900101800,1
E286000,900101800,1
E286030,900102000,2
E286040,900102100,2
E286050,900102200,1
E286060,900102300,1
E286070,900102400,1
E235840,90005870,2
E235850,900058800,1
E235860,900058900,1
E23586,90005890,1
E235870,90005530,4
E235880,900059200,1
E235890,900059200,1
E282350,900075700,1
E282510,900075900,2
E282600,900076000,0
E282700,900076100,1
E282710,900076200,1
E28271,900076202,0
E282720,90007620,1
E282900,900076400,2
E28290,90007640,2
E282902,900076404,0
E283200,900083300,2
E283300,900082500,1
E283310,900082600,1
E283320,900082600,1
E283330,900082600,1
E283340,900082700,2
E286110,900117400,1
E286130,900102600,1
E286140,900102700,1
E286150,900102900,1
E286240,900103100,1
E286260,900103300,2
E286290,900103600,1
E286300,900117100,1
E286310,900103700,1
E235900,900059300,1
E23590,900059300,1
E235920,900059500,1
E235930,90005950,1
E235940,900059600,2
E236030,900059900,1
E236040,900060000,1
E236050,900060100,1
E236060,900060200,1
E23606,90006020,1
E236070,900060300,1
E288240,900120700,2
E283360,900083900,0
E283370,900084200,0
E283380,900084200,0
E283390,900084000,0
E283410,900083200,1
E283420,900083200,1
E283450,900083500,8
E283470,900084600,0
E283480,900084700,1
E283510,900083700,1
E283520,900083800,1
E283530,900084500,0
E283540,900085500,1
E28354,900085500,1
E283550,900085500,1
E200710,900071700,1
E201703,900019100,1
E202303,900027103,1
E207602,90002610,2
E20860,900003800,1
E21970,900018400,2
E22340,90002700,1
E22870,900047900,1
E228702,900047900,1
E286330,900104000,1
E286340,90010400,1
E286350,900104002,1
E286360,900104003,1
E286370,900104100,1
E286380,900104100,1
E286390,90010410,1
E286400,900104102,1
E286410,900104102,1
E23607,90006030,1
E236080,900059502,1
E236090,900060400,1
E236100,900060400,2
E236110,900060500,1
E236120,900060600,1
E236130,900060700,1
E236140,900060700,1
E236170,900060800,4
E236180,900060900,0
E236190,900061000,1
E236220,900061100,1
E236230,900117300,1
E284000,900088100,1
E287370,900113000,1
E287380,900113000,1
E283560,900085400,0
E283570,900085400,0
E283580,900084400,1
E283590,900084400,2
E283600,900085000,1
E283610,900085000,1
E283620,900085300,2
E283630,900085200,1
E283640,900085200,1
E283670,900085700,1
E283680,900085700,1
E283720,900107600,1
E283740,900086300,1
E283750,900086300,1
E232000,900051200,1
E235650,900057200,4
E235830,900058700,2
E283350,900084100,0
E284140,900089300,2
E285330,900117700,1
E236240,900061200,0
E236250,900061300,0
E236260,900061400,0
E236270,900061500,1
E236280,900061600,1
E236290,900061800,1
E236300,900061900,0
E236310,900062000,1
E236320,900062100,2
E236330,900062200,2
E236340,900062300,1
E236350,900062300,1
E283760,900086400,1
E283770,900086400,1
E283810,900086500,0
E283820,900086600,1
E283830,900086700,2
E283840,900086800,0
E283850,900086900,0
E283860,900086900,0
E283870,900086900,0
E283880,900087000,4
E283890,900087100,2
E283900,900087200,0
E283910,900087300,1
E283920,900087400,1
E283930,900087500,1
E283940,900087600,1
E283950,900087700,1
E286280,900103500,1
E236360,900062400,1
E236370,900062400,1
E236380,900062500,0
E236390,90006250,0
E236400,900062600,1
E236410,900062600,1
E283960,900087700,1
E283970,900087800,1
E283980,900087900,1
E283990,900088000,1
E284010,900088200,0
E284020,900088300,2
E284030,900088400,5
E284040,900117300,1
E284040,900117300,1
E284050,900088500,0
E284060,900088600,2
E284070,900088700,0
E284080,900088800,0
E284090,90008850,0
E284100,900088900,2
E284110,900089000,1
E284130,900089200,2
E236420,900062502,0
E236460,900063000,2
E236470,900063000,1
E236480,900063100,0
E23648,90006310,0
E23649,90006320,0
E23650,90006330,0
E236510,900063400,0
E236530,900063600,0
E288110,900115500,1
E287250,900110000,1
E287260,900110000,1
E288120,900115500,1
E284150,900089400,2
E284160,900089500,0
E284190,900089800,1
E284200,900089900,1
E284220,900090100,2
E28422,900108400,2
E284230,900090200,1
E284240,900090300,1
E284250,900090400,1
E284260,900090500,1
E288100,900118800,2
E286010,900101900,1
E286020,900101900,1
E286790,900106400,1
E286800,900106400,1
E284120,900089100,1
E286120,900102600,1
E287440,900110400,2
E202302,900027100,1
E284960,900095900,1
E284970,900095900,1
E237690,900076300,1
E287780,90011470,1
E287790,90011480,1
E287790,900114800,2
E287800,900114802,2
E287800,90011480,1
E235910,900059400,4
E287390,900112500,2
E237360,900109000,1
E285550,90009880,1
E284000,900088100,1
E287350,900111800,4
E287950,900116400,20
E287960,900116400,20
E235620,900056900,1
E287820,900113600,2
E287610,900113300,1
E287620,900113300,1
E287445,900112700,4
E287970,900118200,2
E28745,900113200,2
E284720,900094300,1
E286730,900105000,1
E288050,900118700,1
E288040,900118700,1
E288070,900118700,1
E288060,900118700,1
E288080,900118400,8
E287230,900111400,6
E285090,900115400,1
E237490,900074000,1
E237480,900074000,1
E285520,90009870,1
E237500,900074000,1
E236450,900062900,1
E285960,900101500,1
E285970,900101600,1
E237440,900073800,1
E237370,900073300,1
E212203,90002270,1
E285590,900099100,1
E284910,900095400,1
E237380,900073400,1
E20110,900029800,1
E286580,900105500,1
E231200,900050600,2
E285750,900100000,1
E284510,900092800,1
E284520,900092800,1
E285070,900096400,1
E283440,900083400,4
E284690,900094100,6
E284700,90009410,1
E283430,900083400,4
