^PRODOTTO^|^DESCRIZIONE^|^COD_CICLO^|^FASE^|^OPERAZIONE^|^CL.MACCHINE^|^CL.OPERATORI LAV.^|^CL.OPERATORI ATTR.^|^ATTREZZATURA^|^T.ATTR.MACCHINA^|^T.ATTR.UOMO^|^T.LAV.MACCHINA^|^T.LAV.UOMO^|^NOTE FASE^|^TERZISTA^|^GG.LAV.EST.^|^DIRECTORY FILE DISEGNO^|^NOME FILE DISEGNO^|^N.OPER.LAV.^|^N.OPER.ATTR.^|^GG.POSTICIPO^|^SCHED.CAP.ILLIM.^|^T.ATTRAVERSAMENTO^|^NUM.IMPRONTE^|^N.RIGA^|^RIGA TESTO FASE^
^E200330^|^AM5 CRV BASE grezzo <696>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900069600|12000000|12000000|58000|20000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|1|^ ^|^ ^
^E200340^|^AM5 HSG COPERCHIO grezzo <697>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900069700|9000000|9000000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|1|^ ^|^ ^
^E200340^|^AM5 HSG COPERCHIO grezzo <697>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900069700|12000000|12000000|58000|20000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|1|^ ^|^ ^
^E200350^|^SCHIENALE SX grezzo <698>^|^ ^|10|^ALPREP^|^A1000^|^ ^|^FOA^|900069800|4500000|4500000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|2|^ ^|^ ^
^E200350^|^SCHIENALE SX grezzo <698>^|^ ^|40|^ALAUT^|^A1000^|^FOG^|^FOA^|900069800|6000000|6000000|46000|16000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|2|^ ^|^ ^
^E200360^|^SEDUTA SX grezzo <698>^|^ ^|10|^ALPREP^|^A1000^|^ ^|^FOA^|900069800|4500000|4500000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|2|^ ^|^ ^
^E200360^|^SEDUTA SX grezzo <698>^|^ ^|40|^ALAUT^|^A1000^|^FOG^|^FOA^|900069800|6000000|6000000|46000|16000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|2|^ ^|^ ^
^E200370^|^SCHIENALE DX grezzo <699>^|^ ^|10|^ALPREP^|^A1000^|^ ^|^FOA^|900069900|4500000|4500000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|2|^ ^|^ ^
^E200370^|^SCHIENALE DX grezzo <699>^|^ ^|40|^ALAUT^|^A1000^|^FOG^|^FOA^|900069900|6000000|6000000|46000|16000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|2|^ ^|^ ^
^E200380^|^SEDUTA DX grezzo <699>^|^ ^|10|^ALPREP^|^A1000^|^ ^|^FOA^|900069900|4500000|4500000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|2|^ ^|^ ^
